Username,Comment
Nitesh,"Actual farmers are doing there job and living, middle man and so called goons are protesting!!!"
himani dhull,"Had you been following reporting the way the sequence had been going on you wouldn't have believed it was in farmers nature to do that, don't show propaganda news"
himani dhull,Subsidies and new schemes must be launched for making agriculture scientific rather than depriving them of their Right to property.
himani dhull,Pls don't show manipulated and news without any base of credibility
himani dhull,"Its fake, it's was a conspiracy they were not real farmerss, they were bought people aka so called farmers who did this, we have credibility in farmers protest"
himani dhull,I don't agree with this news
PARIMAL MUKUL,"It's sad to see these illiterate farmers and their so-called ""leaders"" with vested interests protesting for something fictitious like thinking that government will stop providing MSPs to farm produce. To those who don't know a dime about the Indian Agriculture system, my advice is Google a little and gain some knowledge about the dire issues that this law intends to address. It would have been fine if farmers were protesting after the govt. has taken back the MSP support which is never gonna happen because no political party is dumb enough to lose farmers' vote which is about 70% of the working class (it's a huge number believe me) by cutting down MSPs. 

There are about 130 million farmers in India (more than the population of many big countries in the world) and certainly, not all of them are protesting because most of them will be benefited from this law."
Hornet,The law is beneficial to poor farmers which is almost 70 % of India's population.Just some people are creating havocs in the society for their own personal needs.
Jeet Jeet,They're not farmers but anti social elements 
BaBa BaeBee TesTube,aLL are made victims for worlds wide wors 3?
sri nath,They are not farmers first they are brokers
Noor's desi slowed reverb,I am from punjab i've seen my relatives working day and night
Jatinder Singh Khalsa,Shame on BBC terming it as Voilent. Paid Media.
S. Avtar Singh BHANGU,"USA PLEASE HELP TO INDIAN-FARMERS
"
S. Avtar Singh BHANGU,"UNO PLEASE HELP TO INDIAN FARMERS 

                                                     From India "
S. Avtar Singh BHANGU," MODI  is  TAANASHAH 
  INDIAN PM is TAANASHAH  
UNO PLEASE HELP TO INDIAN-FARMERS "
Arun Roy,"If Muslim does same thing....it's terrorists and jihand

If Sikh and Hindus does same thing....it okay


This is mentality of Hindus.....world must brace ITSELF ....the communal hate will destroy every part of World


This is just like how USA created choas in Libya,Iraq, Syria, Afghanistan,iran, Yemen...... where ever USA goes it will destory peace......same where ever Hindus goes it will create communalism in every part of nation in World"
smells like thin ice,"I pray God for the farmers, I pray for their victory...while the bbc commentator sits in her comfy chair, in her comfy studio, with her make up artist in the wing, lecturing an honest man, fighting for decent workers rights...unbelievable
Another fine job for corporate elites bbc."
Jethalal,"INDIA is a violent country, don't tell me about Afganistan,Pakistan and other countries in reply,I know about that,these countries are violent too,But you should not defend your wrong things by other's wrong things..."
proud to be Indian,Worst pm in the world Modi
True indian,They are brokers
Dave Codling,Indian farmers and workers held the biggest industrial action in human history with over 250 million people out on strike. wow
Eric BUTRUILLE,"Well, would Indians FINALLY understand that non violence has never led anywhere? "
Gen Youtube,Keep protesting farmers. All of the governments are pushing through unacceptable bills - using lockdown . I am glad people are fighting for their rights . Go farmers.
Moazzam Hussain,#Moditerrorism #Indianterrorism #RSSgoons #indiatoendia
Gil Orms,"India's agriculture sector is hopelessly inefficient. About a third of produce rots before reaching consumers. Unlike the BBc, where 95%+ of output is rotten."
amrita gupta,BBC is the King of  Anti India propaganda and fake news. BBC should be banned in India
polak polak,"This isn't shown during the day. Notice how the clock in the corner of the screen is cut out of shot.
Shown at 3am when nobody is watching the news. Typical BS from the BBC"
cena dg,If BBC don't know that these are politics by oppositions then better you should change your reporters. Even most of the common man in India knows that these are fraud dharnas. Unless you have a Moto to defame India. Please don't support fake narratives who are paid.
aman thind,Indian media bad then prostitution duty
Rajesh Swamydhas,"Shame.Look at the govt. Hospital and school,no money to enhance it. However poor pm and cm has money to built statue and idol in India....."
Ren Sin,"At least, to strike a compromise, Govt. need to have a seperate agency to act as a business resource center for the farmers in each state that they can go to; to give them business guidance, teach them business & negotiating skills etc.  
Without that, it's like throwing them out of the ship and they're saying, they don't even know how to swim"
SAJIN MATHEW,That thumbnail photo look dope. He Is extremely angry. 
jerry yang,"this is how u k that the Indian government incapable of anything lol , trying to fight off the Chinese army at the border while having its domestic affairs look at  a shetshow"
Ramses Express,BBC-Britain Bias Corporation.
Poop E.pants,You can thank Bill Gates and his multinational pals.
Anees Ali,BBC is 3rd class broadcasting corporation.  Like we can expect anything  from a prostitute like wise  we can expect lowest of low  behavior from BBC.  I am a muslim but I can not bear this comment. I think it is a culture in Britain to abuse Mothers.
Jenny L,Are Indian farmars fromed by people on low social class?
Jenny L,I heard in India people are classified to different levels. Is this true? How come Indian people are not born equal even in 21st century? Where are human rights in India...
Kevin Lappan,Hows the great reset going so far
John Smith,Silly news reported. That is not journalism.
nature india 001,"Plese brodecast news 
Indian employment and kisan protest 
Indian new chanal sold by modi government 
Indian new is not Indian chanal it is modi chanal"
KIRAN,"Everyone is afraid of change. Don't resist just Embrace it. Our country  is developing that's all. All of us should be happy. I can see why farmers are afraid, but it's for greater good. 
Don't go thinking about private profit and all."
FullSendcirca92,Its no dangerous to gather in large numbers. Lockdowns dont work
Book of Katherine,"Oh yeah. India is real diverse. No women. No africans. No Americans. Oh, so, diverse."
Hrvatska Cat,boring
Ajay Kukreja,POOR FARMERS MADE TO PROTEST AMIDST DEADLY GLOBAL PANDEMIC.  SHAME ON THIS GOVERNMENT AND THEIR SUPPORTERS. !!!!!
Razzi Warraich,All staged by BJP to defame this protest
Hardev Dodia,"Not as violent at Winston Churchill turned on Indian farmers during Bengal famine resulting into 3 million deads. For South Asia, Mr Churchill will always be equivalent to Hitler."
SLEDGE HAMR,Wow the title to this video is a bit misleading
R L,This newscaster is hating on her own people with her fancy English education. Who cares about the fake pandemic or being peaceful under baton charge ? This is life or death for the common farmer. Plus newscasters are supposed to be pretty!
James_T,"I see communist/marxist flags at the end - nothing at all suspicious or nefarious to see here at all folks lol. History shows, never side with the communists - anything to do with communists will be far from peaceful."
Real Tech,It's even more violent and cruel to subject these farmers and their families to poverty and even lower quality of life. Stop demonizing people who are trying to upscale their quality of life to decent standards that have long been exploited by capitalism for maximum profits.
ricky spanish,"Who cares India must evolve ,their old system is flawed, and weird,  i think this will open great opportunities for India"
Mohan Bennett,"Hi, here is a link to a panel of Indian women from the UK trying to fight for the farmers protest please share and support: https://www.youtube.com/watch?v=Fa8prkRxzJc"
Jeevansh Gaming,And government doing tatty in godi news
Pratham Jain,Those who support these Khalistani blindly must know they killed 20 policemen and injured 374
PSK,Hyped news.
Suresh P,"Fake news BBC destroyed Iraq, Libya, Syria, Yemen, and now tries on India."
